player_id,player_name,position,has_beard,has_mustache,is_redhead
00-0023459,Aaron Rodgers,QB,True,True,False
00-0026158,Joe Flacco,QB,True,True,False
00-0026190,Calais Campbell,DL,True,True,False
00-0026300,Josh Johnson,QB,True,True,False
00-0026498,Matthew Stafford,QB,True,True,False
00-0026625,Brian Hoyer,QB,True,True,False
00-0027647,Devin McCourty,DB,True,True,False
00-0027688,Colt McCoy,QB,False,False,False
00-0027723,Al Woods,DL,True,True,False
00-0027862,Tyson Alualu,DL,True,True,False
00-0027865,Brandon Graham,DL,True,True,False
00-0027867,Jason Pierre-Paul,DL,True,True,False
00-0027872,Kareem Jackson,DB,True,True,False
00-0027881,Jerry Hughes,DL,True,True,False
00-0027885,Linval Joseph,DL,True,True,False
00-0027940,Von Miller,LB,True,True,False
00-0027943,Patrick Peterson,DB,True,True,False
00-0027948,Blaine Gabbert,QB,True,True,False
00-0027962,Cameron Jordan,DL,True,True,False
00-0027969,Cameron Heyward,DL,True,True,False
00-0027973,Andy Dalton,QB,True,True,True
00-0028008,Justin Houston,LB,True,True,False
00-0028118,Tyrod Taylor,QB,True,True,False
00-0028171,Lawrence Guy,DL,True,True,False
00-0028292,Nick Bellore,LB,True,True,False
00-0028899,Rodney McLeod Jr.,DB,True,True,False
00-0028908,Michael Thomas,DB,True,True,False
00-0028924,Tashaun Gipson,DB,True,True,False
00-0028986,Case Keenum,QB,True,True,False
00-0029193,Bruce Irvin,LB,True,True,False
00-0029249,Melvin Ingram,LB,True,True,False
00-0029255,Bobby Wagner,LB,True,True,False
00-0029263,Russell Wilson,QB,True,True,False
00-0029285,Josh Norman,DB,True,True,False
00-0029530,Justin Bethel,DB,True,True,False
00-0029542,Stephon Gilmore,DB,True,True,False
00-0029562,Lavonte David,LB,True,True,False
00-0029585,Chandler Jones,DL,True,True,False
00-0029604,Kirk Cousins,QB,True,True,False
00-0029606,Harrison Smith,DB,True,True,False
00-0029607,Demario Davis,LB,True,True,False
00-0029653,Fletcher Cox,DL,True,True,False
00-0029701,Ryan Tannehill,QB,True,False,False
00-0029764,Cody Davis,DB,False,False,False
00-0029890,Mike Purcell,DL,True,True,False
00-0030062,Darius Slay,DB,True,True,False
00-0030063,Johnathan Hankins,DL,True,True,False
00-0030070,John Jenkins,DL,True,True,False
00-0030090,Micah Hyde,DB,True,True,False
00-0030114,Jordan Poyer,DB,True,True,False
00-0030383,Duron Harmon,DB,True,True,False
00-0030386,William Gholston,DL,True,True,False
00-0030411,Logan Ryan,DB,True,True,False
00-0030459,Tyrann Mathieu,DB,True,True,False
00-0030463,A.J. Klein,LB,True,True,False
00-0030500,Nicholas Williams,DL,False,True,False
00-0030533,Matt Barkley,QB,True,True,False
00-0030565,Geno Smith,QB,True,True,False
00-0030665,Daniel Sorensen,DB,False,False,False
00-0030757,Mike Pennel,DL,True,True,False
00-0030946,Kerry Hyder,DL,True,True,False
00-0031040,Khalil Mack,DL,True,True,False
00-0031097,Terrance Mitchell,DB,True,True,False
00-0031101,Shaquil Barrett,LB,True,True,False
